productname,2014,2015,2016,2017,Total in Months
Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,0,0,7,14,21
Hoover Commercial SteamVac,0,0,0,14,14
iOttie XL Car Mount,0,0,0,14,14
Fellowes Superior 10 Outlet Split Surge Protector,13,4,0,13,30
"File Shuttle II and Handi-File, Black",10,0,11,13,34
Maxell LTO Ultrium - 800 GB,9,19,0,13,41
GBC Recycled Regency Composition Covers,9,4,0,13,26
Sensible Storage WireTech Storage Systems,9,0,16,13,38
Vtech CS6719,8,11,0,13,32
"Eldon 200 Class Desk Accessories, Burgundy",7,5,0,13,25
"Chromcraft 48 x 96"" Racetrack Double Pedestal Table""",7,0,2,13,22
Hunt Boston Vacuum Mount KS Pencil Sharpener,7,0,0,13,20
Xerox 1887,6,9,2,13,30
Hon 5100 Series Wood Tables,6,0,7,13,26
Wilson Jones Impact Binders,5,16,8,13,42
Wilson Electronics DB Pro Signal Booster,5,10,4,13,32
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,4,6,3,13,26
Newell 314,4,5,2,13,24
invisibleSHIELD by ZAGG Smudge-Free Screen Protector,3,3,10,13,29
AT&T 841000 Phone,3,2,10,13,28
Green Bar Computer Printout Paper,3,0,1,13,17
Global Deluxe Steno Chair,2,6,8,13,29
"Eberhard Faber 3 1/2 Golf Pencils""",2,0,5,13,20
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2,0,0,13,15
Logitech Wireless Touch Keyboard K400,2,0,0,13,15
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1,11,0,13,25
Xerox 1894,0,12,2,13,27
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,0,9,5,13,27
"Acme 10 Easy Grip Assistive Scissors""",0,9,4,13,26
Motorola L703CM,0,7,12,13,32
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",0,6,14,13,33
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",0,3,5,13,21
Imation Bio 2GB USB Flash Drive Imation Corp,0,3,0,13,16
Howard Miller Distant Time Traveler Alarm Clock,0,2,6,13,21
"Bush Westfield Collection Bookcases, Fully Assembled",0,0,5,13,18
Berol Giant Pencil Sharpener,0,0,4,13,17
Logitech G13 Programmable Gameboard with LCD Display,0,0,1,13,14
Bulldog Table or Wall-Mount Pencil Sharpener,0,0,0,13,13
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",19,5,15,12,51
9-3/4 Diameter Round Wall Clock,13,1,8,12,34
"Bevis Oval Conference Table, Walnut",12,8,4,12,36
"Dual Level, Single-Width Filing Carts",11,10,10,12,43
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,11,8,13,12,44
Bestar Classic Bookcase,11,3,5,12,31
Xerox 1931,10,6,8,12,36
Hon GuestStacker Chair,9,3,10,12,34
"Lifetime Advantage Folding Chairs, 4/Carton",9,2,4,12,27
GBC DocuBind 300 Electric Binding Machine,8,1,2,12,23
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,8,0,0,12,20
Newell 350,8,0,0,12,20
"Performers Binder/Pad Holder, Black",7,9,8,12,36
Tennsco Single-Tier Lockers,7,6,3,12,28
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2 x 11""""",7,0,10,12,29
3M Hangers With Command Adhesive,6,7,8,12,33
Cardinal Holdit Business Card Pockets,6,3,4,12,25
Wilson Jones Turn Tabs Binder Tool for Ring Binders,5,12,30,12,59
Insertable Tab Post Binder Dividers,5,5,3,12,25
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",5,5,0,12,22
Wilson Jones Four-Pocket Poly Binders,5,0,0,12,17
O'Sullivan 2-Shelf Heavy-Duty Bookcases,4,4,1,12,21
Bush Advantage Collection Racetrack Conference Table,3,12,6,12,33
"Eldon Image Series Desk Accessories, Burgundy",3,10,6,12,31
Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,3,7,2,12,24
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",3,6,5,12,26
Acco Suede Grain Vinyl Round Ring Binder,3,5,9,12,29
SANFORD Major Accent Highlighters,3,3,12,12,30
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",3,3,3,12,21
Boston 16801 Nautilus Battery Pencil Sharpener,3,0,8,12,23
Avery 475,3,0,3,12,18
Xerox 1992,3,0,0,12,15
Avery 48,3,0,0,12,15
GBC Recycled VeloBinder Covers,2,15,13,12,42
Tenex B1-RE Series Chair Mats for Low Pile Carpets,2,8,1,12,23
Rogers Handheld Barrel Pencil Sharpener,2,4,12,12,30
Hon 61000 Series Interactive Training Tables,2,1,7,12,22
Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,2,1,3,12,18
Accohide Poly Flexible Ring Binders,1,15,6,12,34
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1,9,13,12,35
Avery 474,0,16,2,12,30
Global Chrome Stack Chair,0,14,6,12,32
Deluxe Heavy-Duty Vinyl Round Ring Binder,0,10,11,12,33
Xerox 1915,0,6,10,12,28
Hoover Portapower Portable Vacuum,0,6,0,12,18
Carina Media Storage Towers in Natural & Black,0,5,3,12,20
Steel Personal Filing/Posting Tote,0,4,13,12,29
GBC Plasticlear Binding Covers,0,4,7,12,23
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,0,3,7,12,22
Polycom CX600 IP Phone VoIP phone,0,2,3,12,17
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,0,2,0,12,14
Ricoh - Ink Collector Unit for GX3000 Series Printers,0,2,0,12,14
Xerox 231,0,1,1,12,14
Logitech MX Performance Wireless Mouse,0,0,11,12,23
"Office Impressions End Table, 20-1/2H x 24""W x 20""D""",0,0,11,12,23
GBC ProClick 150 Presentation Binding System,0,0,10,12,22
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,0,0,5,12,17
Avery 517,0,0,1,12,13
iHome FM Clock Radio with Lightning Dock,0,0,1,12,13
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,20,14,7,11,52
Bretford Rectangular Conference Table Tops,19,4,12,11,46
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,17,15,9,11,52
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",17,0,9,11,37
Tensor Computer Mounted Lamp,15,10,0,11,36
"Decoflex Hanging Personal Folder File, Blue",15,9,0,11,35
Hon Multipurpose Stacking Arm Chairs,14,7,4,11,36
GBC Durable Plastic Covers,14,2,7,11,34
"Maxell Pro 80 Minute CD-R, 10/Pack",13,0,0,11,24
Carina Double Wide Media Storage Towers in Natural & Black,12,12,4,11,39
Xerox 1884,11,9,1,11,32
Prang Colored Pencils,11,5,5,11,32
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive  16GB,9,0,12,11,32
"#10- 4 1/8 x 9 1/2"" Recycled Envelopes""",9,17,0,11,37
Xerox 225,8,3,11,11,33
"BIC Brite Liner Highlighters, Chisel Tip",8,2,0,11,21
"Global High-Back Leather Tilter, Burgundy",7,20,16,11,54
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",7,10,8,11,36
Prang Dustless Chalk Sticks,7,4,2,11,24
"Bevis Round Conference Table Top, X-Base",7,2,0,11,20
Adjustable Personal File Tote,7,0,0,11,18
"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",7,0,0,11,18
"Acco Six-Outlet Power Strip, 4' Cord Length",6,12,12,11,41
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",6,6,5,11,28
Eldon Fold 'N Roll Cart System,6,2,5,11,24
Hon 4-Shelf Metal Bookcases,6,0,5,11,22
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",5,13,0,11,29
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",5,9,10,11,35
"Global Airflow Leather Mesh Back Chair, Black",5,2,14,11,32
Plymouth Boxed Rubber Bands by Plymouth,5,2,0,11,18
"Global Leather and Oak Executive Chair, Black",4,4,7,11,26
Kensington Expert Mouse Optical USB Trackball for PC or Mac,4,0,5,11,20
BIC Brite Liner Grip Highlighters,4,0,2,11,17
"SAFCO Mobile Desk Side File, Wire Frame",3,13,4,11,31
Harbour Creations 67200 Series Stacking Chairs,3,6,4,11,24
Prestige Round Ring Binders,3,5,2,11,21
Acco Translucent Poly Ring Binders,3,3,14,11,31
"Eldon Executive Woodline II Desk Accessories, Mahogany",3,3,0,11,17
BIC Brite Liner Highlighters,3,2,7,11,23
Colored Envelopes,3,2,0,11,16
Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,3,0,20,11,34
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",3,0,0,11,14
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",2,15,10,11,38
GBC Standard Plastic Binding Systems' Combs,2,12,5,11,30
Avanti 4.4 Cu. Ft. Refrigerator,2,11,0,11,24
Global Troy Executive Leather Low-Back Tilter,2,5,14,11,32
Polycom VoiceStation 500 Conference phone,2,2,0,11,15
QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,2,0,0,11,13
Aastra 57i VoIP phone,1,8,6,11,26
Spigen Samsung Galaxy S5 Case Wallet,1,3,0,11,15
Avery Reinforcements for Hole-Punch Pages,0,19,11,11,41
Tuf-Vin Binders,0,15,0,11,26
"Tenex Personal Project File with Scoop Front Design, Black",0,13,16,11,40
"It's Hot Message Books with Stickers, 2 3/4 x 5""""",0,10,4,11,25
Newell 336,0,7,0,11,18
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",0,7,0,11,18
"Hon Metal Bookcases, Putty",0,6,2,11,19
Things To Do Today Pad,0,5,10,11,26
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",0,5,4,11,20
"Tenex The Solids"" Textured Chair Mats""",0,4,11,11,26
Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,0,4,5,11,20
Cardinal Slant-D Ring Binders,0,4,2,11,17
Motorla HX550 Universal Bluetooth Headset,0,4,0,11,15
Fellowes Powershred HS-440 4-Sheet High Security Shredder,0,3,3,11,17
Logitech Media Keyboard K200,0,3,2,11,16
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0,2,10,11,23
"Global Leather Task Chair, Black",0,1,7,11,19
Premier Electric Letter Opener,0,0,13,11,24
Canon imageCLASS 2200 Advanced Copier,0,0,9,11,20
Belkin F9S820V06 8 Outlet Surge,0,0,6,11,17
Panasonic KX - TS880B Telephone,0,0,0,11,11
Nokia Lumia 925,0,0,0,11,11
"OIC Colored Binder Clips, Assorted Sizes",19,0,15,10,44
Crayola Colored Pencils,18,9,3,10,40
Dixon Ticonderoga Core-Lock Colored Pencils,16,2,0,10,28
Global Commerce Series High-Back Swivel/Tilt Chairs,15,3,5,10,33
Alphabetical Labels for Top Tab Filing,15,0,12,10,37
"Angle-D Binders with Locking Rings, Label Holders",13,7,12,10,42
DAX Wood Document Frame,11,19,0,10,40
Prang Drawing Pencil Set,11,7,11,10,39
Xerox 1988,9,18,4,10,41
Newell 35,9,5,6,10,30
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,9,3,3,10,25
Xerox 2,8,4,3,10,25
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,8,0,0,10,18
Novimex Fabric Task Chair,7,10,12,10,39
Safco Industrial Wire Shelving System,7,8,5,10,30
Fellowes Black Plastic Comb Bindings,7,6,11,10,34
Standard Rollaway File with Lock,7,5,18,10,40
Eldon Portable Mobile Manager,7,5,12,10,34
Avery 481,7,0,13,10,30
"Avery Flip-Chart Easel Binder, Black",7,0,0,10,17
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,7,0,0,10,17
"DataProducts Ampli Magnifier Task Lamp, Black,",6,5,0,10,21
Office Star - Mesh Screen back chair with Vinyl seat,6,4,0,10,20
GBC Recycled Grain Textured Covers,6,4,0,10,20
Clear Mylar Reinforcing Strips,6,2,11,10,29
Kingston Digital DataTraveler 32GB USB 2.0,6,0,6,10,22
Logitech Wireless Gaming Headset G930,6,0,5,10,21
Letter or Legal Size Expandable Poly String Tie Envelopes,6,0,0,10,16
"GBC White Gloss Covers, Plain Front",5,8,8,10,31
Hon 2111 Invitation Series Straight Table,5,3,0,10,18
Avery 512,5,0,17,10,32
ACCOHIDE Binder by Acco,5,0,6,10,21
Avery Fluorescent Highlighter Four-Color Set,4,8,2,10,24
Recycled Steel Personal File for Hanging File Folders,4,5,2,10,21
Kensington 6 Outlet Guardian Standard Surge Protector,4,3,3,10,20
Xerox 23,4,1,8,10,23
Avery 519,4,0,4,10,18
Memorex Micro Travel Drive 8 GB,3,7,6,10,26
"Super Bands, 12/Pack",3,7,0,10,20
Xerox 1885,3,3,4,10,20
Spiral Phone Message Books with Labels by Adams,3,2,0,10,15
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",3,1,0,10,14
Panasonic KX TS208W Corded phone,3,0,19,10,32
"24 Capacity Maxi Data Binder Racks, Pearl",3,0,6,10,19
"O'Sullivan Elevations Bookcase, Cherry Finish",3,0,5,10,18
Things To Do Today Spiral Book,3,0,0,10,13
Catalog Binders with Expanding Posts,2,18,6,10,36
"Eldon Expressions Wood Desk Accessories, Oak",2,14,7,10,33
Logitech G700s Rechargeable Gaming Mouse,2,11,2,10,25
DAX Wood Document Frame.,2,4,0,10,16
Eureka The Boss Cordless Rechargeable Stick Vac,2,3,4,10,19
Acme Forged Steel Scissors with Black Enamel Handles,2,0,20,10,32
Dax Clear Box Frame,2,0,2,10,14
Xerox 1940,2,0,0,10,12
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1,13,3,10,27
Xerox 1924,1,0,1,10,12
PureGear Roll-On Screen Protector,0,19,5,10,34
Manco Dry-Lighter Erasable Highlighter,0,19,1,10,30
